MoldName,SaveDate,Materials,Colour,MoldNum
9,2019/3/4-16:17:43,9,9,9
,,,,
DataID,DataValue,,,
0x52F,0,,,
0x530,0,,,
0x531,65535,,,
0x532,65535,,,
0x533,65535,,,
0x534,65535,,,
0x535,65535,,,
0x536,65535,,,
0x537,65535,,,
0x538,65535,,,
0x539,65535,,,
0x53A,65535,,,
0x53B,65535,,,
0x53C,65535,,,
0x53D,0,,,
0x53E,0,,,
0x53F,0,,,
0x540,65535,,,
0x541,0,,,
0x542,65535,,,
0x543,65535,,,
0x544,65535,,,
0x545,65535,,,
0x546,65535,,,
0x547,65535,,,
0x548,65535,,,
0x549,65535,,,
0x54A,65535,,,
0x54B,65535,,,
0x54C,65535,,,
0x54D,65535,,,
0x54E,65535,,,
0x54F,0,,,
0x550,0,,,
0x551,65535,,,
0x552,65535,,,
0x553,65535,,,
0x554,65535,,,
0x555,65535,,,
0x556,65535,,,
0x557,65535,,,
0x558,65535,,,
0x559,65535,,,
0x55A,65535,,,
0x55B,65535,,,
0x55C,65535,,,
0x55D,0,,,
0x55E,0,,,
0x55F,0,,,
0x560,65535,,,
0x561,0,,,
0x562,65535,,,
0x563,65535,,,
0x564,65535,,,
0x565,65535,,,
0x566,65535,,,
0x567,65535,,,
0x568,65535,,,
0x569,65535,,,
0x56A,65535,,,
0x56B,65535,,,
0x56C,65535,,,
0x56D,65535,,,
0x56E,65535,,,
0x56F,0,,,
0x570,0,,,
0x571,65535,,,
0x572,65535,,,
0x573,65535,,,
0x574,65535,,,
0x575,65535,,,
0x576,65535,,,
0x577,65535,,,
0x578,65535,,,
0x579,65535,,,
0x57A,65535,,,
0x57B,65535,,,
0x57C,65535,,,
0x57D,0,,,
0x57E,0,,,
0x57F,0,,,
0x580,74565,,,
0x582,5517840,,,
0x584,65535,,,
0x585,65535,,,
0x586,0,,,
0x587,0,,,
0x588,0,,,
0x589,65535,,,
0x58A,65535,,,
0x58B,1,,,
0x58C,0,,,
0x58D,65535,,,
0x58E,65535,,,
0x58F,65535,,,
