NO.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,12922,451,1,1,20,606,4,5,5,4,0,0,0,0,0,606,606,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12921,556,1,1,20,606,4,4,4,4,0,0,0,0,0,606,606,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12920,455,1,1,20,607,3,4,4,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12919,557,1,1,20,607,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12918,557,1,1,20,607,3,3,4,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12917,556,1,1,20,607,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12916,239,1,1,20,606,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12915,3044,1,1,20,607,3,4,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12914,556,1,1,20,607,3,4,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12910,556,1,1,20,607,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12909,557,1,1,20,607,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12908,556,1,1,20,607,3,4,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12907,557,1,1,20,607,3,3,4,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12906,556,1,1,20,607,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12905,557,1,1,20,607,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12904,557,1,1,20,607,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12903,556,1,1,20,607,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12902,557,1,1,20,607,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12901,556,1,1,20,607,3,3,3,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
 ,12900,557,1,1,20,607,3,3,4,3,0,0,0,0,0,607,607,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0
