NO.,Code,ShotCnt,AlarmDescription,StartTime,ResetTime
 ,5965,21,ERR_4D_ALM05,4/2/2019 14:51:37,4/2/2019 14:52:8
 ,5964,21,ERR_4D_ALM04,4/2/2019 14:51:37,4/2/2019 14:52:7
 ,5963,21,ERR_4D_ALM03,4/2/2019 14:51:37,4/2/2019 14:52:7
 ,5962,21,ERR_4D_ALM02,4/2/2019 14:51:36,4/2/2019 14:52:7
 ,5961,21,ERR_4D_ALM01,4/2/2019 14:51:36,4/2/2019 14:52:6
 ,5960,21,ERR_30_ALARM400,4/2/2019 14:51:29,4/2/2019 14:52:6
 ,5959,21,ERR_31_ALARM401,4/2/2019 14:51:29,4/2/2019 14:52:5
 ,5957,21,ERR_33_ALARM403,4/2/2019 14:51:29,4/2/2019 14:52:5
 ,5955,21,ERR_35_ALARM405,4/2/2019 14:51:28,4/2/2019 14:52:5
 ,5954,21,ERR_36_ALARM406,4/2/2019 14:51:28,4/2/2019 14:52:4
 ,5953,21,ERR_37_ALARM407,4/2/2019 14:51:28,4/2/2019 14:52:4
 ,5952,21,ERR_38_MANUALOPEN,4/2/2019 14:51:28,4/2/2019 14:52:3
 ,5951,21,ERR_39_HDYSAFESW,4/2/2019 14:51:27,4/2/2019 14:52:3
 ,5950,21,ERR_3A_LOCKMOLDADJ,4/2/2019 14:51:27,4/2/2019 14:52:3
 ,5949,21,ERR_3B_MOTOROVERLOAD,4/2/2019 14:51:27,4/2/2019 14:52:2
 ,5948,21,ERR_3C_MANUALOPNEJE,4/2/2019 14:51:26,4/2/2019 14:52:2
 ,5947,21,ERR_3D_MLDADJLOCK,4/2/2019 14:51:26,4/2/2019 14:52:1
 ,5946,21,ERR_3E_CLSREARDOOR,4/2/2019 14:51:26,4/2/2019 14:52:1
 ,5944,21,ERR_20_ALARM300,4/2/2019 14:51:19,4/2/2019 14:52:1
 ,5943,21,ERR_21_MOLDTHICKERR,4/2/2019 14:51:18,4/2/2019 14:52:0
 ,5941,21,ERR_23_AUTOSET,4/2/2019 14:51:18,4/2/2019 14:52:0
 ,5940,21,ERR_24_EJENOTBACK,4/2/2019 14:51:18,4/2/2019 14:51:59
 ,6377,21,ERR_WAITINGROBOT1,4/2/2019 14:51:17,4/2/2019 14:51:59
 ,5937,21,ERR_27_MLDCHGSLW,4/2/2019 14:51:17,4/2/2019 14:51:59
 ,5936,21,ERR_28_COOLINGPRSLOW,4/2/2019 14:51:17,4/2/2019 14:51:58
 ,5935,21,ERR_29_ADJSENERR,4/2/2019 14:51:17,4/2/2019 14:51:58
 ,5934,21,ERR_2A_WAITAIRMLD,4/2/2019 14:51:16,4/2/2019 14:51:57
 ,5933,21,ERR_2B_ALARM311,4/2/2019 14:51:16,4/2/2019 14:51:57
 ,6345,21,ERR_COREAPACTPOSERR,4/2/2019 14:51:16,4/2/2019 14:51:57
 ,5931,21,ERR_2D_MLDTHICKPROTERR,4/2/2019 14:51:15,4/2/2019 14:51:56
 ,5930,21,ERR_2E_ADJENDTOUCH,4/2/2019 14:51:15,4/2/2019 14:51:56
 ,5929,21,ERR_2F_PTMBRDCHKERR,4/2/2019 14:51:15,4/2/2019 14:51:55
 ,5928,21,ERR_10_OILFILTERBLK,4/2/2019 14:51:6,4/2/2019 14:51:55
 ,5927,21,ERR_11_OILLVLTOOLOW,4/2/2019 14:51:6,4/2/2019 14:51:55
 ,5926,21,ERR_12_LUBFAIL,4/2/2019 14:51:6,4/2/2019 14:51:54
 ,5925,21,ERR_13_ALARM113,4/2/2019 14:51:6,4/2/2019 14:51:54
 ,6351,21,ERR_COREAINPULLENDERR,4/2/2019 14:51:5,4/2/2019 14:51:53
